,Sale Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),No of Floors,Waterfront View,Condition of the House,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),Purchase Year,Year Since Renovation
0,0,3,1.0,1180.0,1.0,0,1,7,1180.0,0,63,1340.0,5650,2017,0
1,1,3,2.25,2570.0,2.0,0,1,7,2170.0,400,67,1690.0,7639,2017,26
2,0,2,1.0,770.0,1.0,0,1,6,770.0,0,85,2720.0,8062,2016,0
3,1,4,3.0,1960.0,1.0,0,4,7,1050.0,910,53,1360.0,5000,2017,0
4,0,3,2.0,1680.0,1.0,0,1,8,1680.0,0,31,1800.0,7503,2016,0
5,1,4,4.5,5420.0,1.0,0,1,10,3890.0,1530,17,4760.0,101930,2017,0
6,0,3,2.25,1715.0,2.0,0,1,7,1715.0,0,23,2238.0,6819,2017,0
7,0,3,1.5,1060.0,1.0,0,1,7,1060.0,0,55,1650.0,9711,2016,0
8,0,3,1.0,1780.0,1.0,0,1,7,1050.0,730,58,1780.0,8113,2016,0
9,0,3,2.5,1890.0,2.0,0,1,7,1890.0,0,15,2390.0,7570,2016,0
10,1,3,2.5,3560.0,1.0,0,1,8,1860.0,1700,53,2210.0,8925,2016,0
11,0,2,1.0,1160.0,1.0,0,3,7,860.0,300,76,1330.0,6000,2017,0
12,0,3,1.0,1430.0,1.5,0,3,7,1430.0,0,91,1780.0,12697,2017,0
13,0,3,1.75,1370.0,1.0,0,3,7,1370.0,0,41,1370.0,10208,2017,0
14,1,5,2.0,1810.0,1.5,0,1,7,1810.0,0,118,1360.0,4850,2016,0
15,1,4,3.0,2950.0,2.0,0,1,9,1980.0,970,39,2140.0,4000,2016,0
16,0,3,2.0,1890.0,2.0,0,1,7,1890.0,0,24,1890.0,14018,2017,0
17,0,4,1.0,1600.0,1.5,0,3,7,1600.0,0,102,1610.0,4300,2017,0
18,0,2,1.0,1200.0,1.0,0,3,7,1200.0,0,97,1060.0,5095,2017,0
19,0,3,1.0,1250.0,1.0,0,3,7,1250.0,0,49,1280.0,8850,2016,0
20,0,4,1.75,1620.0,1.0,0,3,7,860.0,760,71,1400.0,4980,2017,0
21,1,3,2.75,3050.0,1.0,0,1,9,2330.0,720,50,4110.0,20336,2017,0
22,0,5,2.5,2270.0,2.0,0,1,8,2270.0,0,23,2240.0,7005,2017,0
23,0,2,1.5,1070.0,1.0,0,1,7,1070.0,0,33,1220.0,8386,2017,0
24,0,3,2.25,2450.0,2.0,0,3,8,2450.0,0,33,2200.0,6865,2017,0
25,0,3,2.0,1710.0,1.5,0,4,6,1710.0,0,77,1030.0,4705,2017,0
26,1,3,1.75,2450.0,2.0,0,1,8,1750.0,700,103,1760.0,3573,2017,0
27,1,3,1.0,1400.0,1.5,0,4,8,1400.0,0,109,1860.0,3861,2017,0
28,0,3,1.75,1520.0,1.0,0,1,7,790.0,730,70,1520.0,6235,2017,0
29,1,4,2.5,2570.0,2.0,0,1,8,2570.0,0,13,2630.0,6026,2016,0
30,1,3,2.5,2320.0,2.0,0,1,8,2320.0,0,15,2580.0,3980,2017,0
31,0,2,1.5,1190.0,3.0,0,1,7,1190.0,0,13,1390.0,1756,2017,0
32,1,4,1.75,2330.0,1.5,0,3,7,1510.0,820,89,1460.0,5000,2017,0
33,1,3,1.0,1090.0,1.5,0,3,8,1090.0,0,89,1570.0,5080,2017,0
34,0,4,2.75,2060.0,1.0,0,1,7,1280.0,780,37,2020.0,8720,2017,0
35,1,3,2.5,2300.0,1.5,0,1,8,1510.0,790,88,1590.0,3264,2017,15
36,1,4,1.0,1660.0,1.0,0,0,5,930.0,730,85,2160.0,11467,2017,0
37,1,4,2.0,2360.0,2.0,0,3,8,2360.0,0,114,1730.0,4700,2017,0
38,0,4,1.0,1220.0,1.0,0,2,7,890.0,330,49,1290.0,7800,2016,0
39,1,4,2.5,2620.0,2.0,0,1,8,2620.0,0,22,2620.0,11884,2017,0
40,1,4,2.5,2570.0,2.0,0,1,9,2570.0,0,18,2470.0,5669,2017,0
41,1,4,2.25,4220.0,1.0,0,1,8,2600.0,1620,34,2410.0,30617,2017,0
42,1,5,2.75,3595.0,2.0,0,1,9,3595.0,0,4,3625.0,5639,2017,0
43,1,3,1.0,1570.0,2.0,0,1,7,1570.0,0,96,1580.0,2640,2017,0
44,0,3,1.0,1280.0,1.0,0,3,6,920.0,360,59,1340.0,8808,2017,0
45,0,3,2.5,3160.0,2.0,0,1,8,3160.0,0,15,3050.0,9232,2017,0
46,0,3,1.0,990.0,1.0,0,1,6,990.0,0,52,1228.0,8840,2016,0
47,1,4,2.5,2290.0,2.0,0,3,9,2290.0,0,37,2680.0,13685,2017,0
48,0,3,1.75,1250.0,1.0,0,3,7,1250.0,0,65,970.0,5100,2016,0
49,1,3,2.5,2753.0,1.0,1,4,9,2165.0,588,65,2680.0,72513,2016,0
50,0,3,1.0,1190.0,1.0,0,1,7,1190.0,0,63,1190.0,9364,2017,0
51,0,5,2.5,3150.0,1.0,0,3,8,1640.0,1510,52,1990.0,9133,2016,0
52,1,3,1.75,1410.0,1.0,0,3,7,1000.0,410,68,1410.0,4080,2017,0
53,1,2,1.75,1980.0,1.0,0,1,7,990.0,990,37,1480.0,6738,2016,0
54,1,5,2.25,2730.0,1.5,0,1,8,2130.0,600,91,2730.0,6000,2016,0
55,1,4,2.5,2830.0,2.0,0,1,9,2830.0,0,23,1950.0,5000,2017,0
56,0,4,2.5,2250.0,2.0,0,1,7,2250.0,0,10,2250.0,4500,2017,0
57,0,3,2.5,2420.0,2.0,0,1,8,2420.0,0,15,2690.0,4750,2016,0
58,1,5,3.25,3250.0,2.0,0,3,8,3250.0,0,50,2960.0,11044,2017,0
59,0,4,3.0,1850.0,2.0,0,1,8,1850.0,0,27,2270.0,8542,2016,0
60,1,3,2.25,2150.0,1.0,0,3,8,1590.0,560,59,2570.0,18900,2017,0
61,0,3,1.75,1260.0,1.0,0,1,7,1260.0,0,64,1290.0,8750,2017,0
62,0,3,1.75,2519.0,2.0,0,4,8,2519.0,0,45,2500.0,9500,2017,0
63,1,3,1.75,1540.0,3.0,0,1,8,1540.0,0,4,1580.0,3090,2017,0
64,0,3,2.25,1660.0,1.0,0,1,7,1110.0,550,39,1440.0,4080,2017,0
65,0,3,2.75,2770.0,1.5,0,4,7,1770.0,1000,93,1440.0,4000,2017,0
66,1,4,2.5,2720.0,2.0,0,1,10,2720.0,0,29,2750.0,11049,2017,0
67,0,4,2.5,2240.0,2.0,0,1,7,2240.0,0,13,2221.0,4557,2017,0
68,0,3,1.0,1000.0,1.0,0,3,7,1000.0,0,50,1010.0,12635,2017,0
69,1,5,2.25,3200.0,1.0,0,1,8,1600.0,1600,53,3390.0,20158,2017,0
70,1,5,3.25,4770.0,1.0,0,3,10,3070.0,1700,45,3530.0,38917,2017,0
71,0,3,2.0,1260.0,1.0,0,3,7,1260.0,0,46,1640.0,4745,2016,0
72,1,4,2.0,2750.0,1.5,0,4,7,2250.0,500,102,1510.0,7807,2017,0
73,0,4,2.5,2380.0,2.0,0,1,8,2380.0,0,13,2420.0,5000,2017,0
74,0,3,1.75,1790.0,1.0,0,4,7,1090.0,700,53,1940.0,50529,2016,0
75,1,4,4.0,3430.0,2.0,0,3,10,2390.0,1040,32,3240.0,35020,2017,0
76,0,4,1.75,1760.0,1.0,0,1,7,880.0,880,62,1680.0,7500,2017,0
77,0,3,1.0,1040.0,1.0,0,1,7,1040.0,0,77,890.0,5060,2016,0
78,0,3,1.0,1410.0,1.0,0,3,7,910.0,500,62,1130.0,5693,2017,0
